title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Artificial Intelligence and Intelligent Tutoring Systems in Mathematics Education: A Bibliometric Analysis (2001–2025),"KS Kuncoro, P Fitriasari, SY Erlangga, M Ario…",2026,4,"… and colleagues marked a foundational milestone in the field, … 2024 in the fields of Artificial Intelligence, Intelligent Tutoring … 2023 marked a transition with the strengthening of intelligent …",m9H3Ezh6mVgJ,"KS Kuncoro, P Fitriasari, SY Erlangga, M Ario… - …, 2026 - f1000research.com",[],https://f1000research.com/articles/15-107,unknown,unknown
From algorithms to tutors: tracing the evolution of generative AI in education,D Aggarwal,2026,0,"… literature from 1984 to 2025 (n= 38), … Intelligent Tutoring Systems and adaptive analytics, existing reviews often treat Generative AI as a sudden disruption rather than the latest milestone …",ZsKnQynUnu8J,"D Aggarwal - SN Social Sciences, 2026 - Springer",[],https://link.springer.com/article/10.1007/s43545-026-01515-4,unknown,unknown
"A Thorough Review of AI Developments in Education: Historical Progress, Current Applications, and Future Directions","S Adablanu, B Ghansah…",2025,0,… AI and related technologies have revolutionized education. It posits that integrating Intelligent Tutoring Systems … of AI in education has been marked by significant milestones and crucial …,kW4IqdazEqUJ,"S Adablanu, B Ghansah… - … Artificial Intelligence …, 2025 - jurnalpasca.unram.ac.id",[],https://jurnalpasca.unram.ac.id/index.php/jaie/article/view/706,unknown,unknown
ChatGPT and the Evolution of AI-Powered Tutoring Systems,"D Deckker, S Sumanasekara",2025,3,… from 2024 and 2025 to enhance education research on AI … previous intelligent tutoring systems since it uses deep learning … major AI milestone towards becoming a supplementary tutor …,CN2VswWcKwYJ,"D Deckker, S Sumanasekara - … , Commerce and Educational …, 2025 - academia.edu",[],https://www.academia.edu/download/122599924/ChatGPT_and_the_Evolution_of_AI_Published.pdf,unknown,unknown
The advancement of Artificial Intelligence in Education: Insights from a 1976–2024 bibliometric analysis,"R Che Ghazali, MF Abdul Hanid…",2026,30,"… © 2025 isTe … Key technologies like intelligent tutoring systems, adaptive learning platforms, and … research builds upon its history of technological milestones, financial support, and a …",sJHcLXST2lIJ,"R Che Ghazali, MF Abdul Hanid… - … in Education, 2026 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/15391523.2025.2456044,unknown,unknown
"AI-powered intelligent tutoring systems in higher education: A review of current approaches, challenges, and future directions",A Khalaily,2025,7,"… However, it is reasonable to conclude that the milestone for the current accelerated … AI and its impact on personalized intelligent tutoring systems,” arXiv preprint, arXiv:2410.10650, 2024…",CYqnNrom5hAJ,"A Khalaily - 2025 International Conference on Smart Learning …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11104905/,unknown,unknown
14 Nurturing the Future,M Alrabie,2025,0,"… Artificial intelligence (AI) is transforming various aspects of modern life, and education is no exception (Chen et al., 2022). From intelligent tutoring systems to speech recognition tools, AI…",RarltMs4-XoJ,"M Alrabie - Teaching with Artificial Intelligence: A Guide for …, 2025 - books.google.com",[],https://books.google.com/books?hl=zh-CN&lr=&id=Ho6NEQAAQBAJ&oi=fnd&pg=PT220&dq=AI+education+intelligent+tutoring+systems+2023+2024+2025+milestone&ots=mawWMPeEUN&sig=TFRtxoalLcns7J1kP-ES1tQeOgQ,unknown,unknown
Unveiling the global rise of chatbot-assisted learning a 2020–2025 bibliometric study,"S Gupta, OS Gupta, SK Singh, SK Singh…",2025,1,"… after 2022 and a publication peak in 2024, directly linked to the … A significant milestone was reached in 2000 with ALICE (… , drawing from past intelligent tutoring systems to improve skills …",iosYAv-Hir4J,"S Gupta, OS Gupta, SK Singh, SK Singh… - Int. J. Sci. Math …, 2025 - researchgate.net",[],https://www.researchgate.net/profile/Suraj-Gupta-20/post/Should_a_teacher_focus_on_rigorous_learning_or_learning_with_entertainment2/attachment/699826fe8f696b5079447fa2/AS%3A11431281951986764%401771579134683/download/5%2B7086.pdf,unknown,unknown
AI Revolution in Higher Education,"E Molina, E Medina",2025,6,"… = 0.278) (Alshammary and Alhalafawy 2023), the evidence we … A 2024 study of 38 university ESL learners conducted a … creating and tailoring the Intelligent Tutoring Systems (ITS) to …",n_neUave7m4J,"E Molina, E Medina - What you need to know, 2025 - openknowledge.worldbank.org",[],https://openknowledge.worldbank.org/bitstreams/f059007e-b630-4f78-8535-0f52c95a117d/download,unknown,unknown
"Artificial intelligence in surgical education: a 2025 update on adaptive training, feedback, and competency-based education","N Raghavan, PC Patel, D Limon…",2026,15,"… , which emphasizes measurable milestones. Central to CBE are … under intelligent tutor vs standardized expert feedback vs AI-… A 2023 scoping review found that even well-intentioned …",biDx5dv2Er4J,"N Raghavan, PC Patel, D Limon… - The American …, 2026 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1177/00031348251397597,unknown,unknown
